date,cancel_public_events,school_closing,restrictions_on_gathering,close_public_transport,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt/contract_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,protection_of_elderly_people,total_cases,new_cases,total_deaths,new_deaths,workplace_closing,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-03-17,2.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,321.0,121.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
2020-03-18,2.0,3.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,372.0,51.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0
2020-03-19,2.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,621.0,249.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0
2020-03-20,2.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,793.0,172.0,11.0,5.0,3.0,0.0,0.0,0.0,0.0
2020-03-21,2.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1021.0,228.0,15.0,4.0,3.0,0.0,0.0,0.0,0.0
2020-03-22,2.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1546.0,525.0,25.0,10.0,3.0,0.0,0.0,0.0,0.0
2020-03-23,2.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1924.0,378.0,34.0,9.0,3.0,0.0,0.0,0.0,0.0
2020-03-24,2.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,2247.0,323.0,46.0,12.0,3.0,0.0,0.0,0.0,0.0
2020-03-25,2.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,2554.0,307.0,59.0,13.0,3.0,0.0,0.0,0.0,0.0
2020-03-26,2.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,2985.0,431.0,77.0,18.0,3.0,0.0,0.0,0.0,0.0
2020-03-27,2.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,3417.0,432.0,92.0,15.0,3.0,0.0,0.0,0.0,0.0
2020-03-28,2.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,3904.0,487.0,111.0,19.0,3.0,0.0,0.0,0.0,0.0
2020-03-29,2.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,4256.0,352.0,136.0,25.0,3.0,0.0,0.0,0.0,0.0
2020-03-30,2.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,4579.0,323.0,159.0,23.0,3.0,0.0,0.0,0.0,0.0
2020-03-31,2.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,5717.0,1138.0,201.0,42.0,3.0,0.0,0.0,0.0,0.0
2020-04-01,2.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,6836.0,1119.0,240.0,39.0,3.0,0.0,0.0,0.0,0.0
2020-04-02,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,8044.0,1208.0,324.0,84.0,3.0,0.0,0.0,0.0,0.0
2020-04-03,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,9056.0,1012.0,359.0,35.0,3.0,0.0,0.0,0.0,0.0
2020-04-04,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,10360.0,1304.0,445.0,86.0,3.0,0.0,0.0,0.0,0.0
2020-04-05,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,11130.0,770.0,486.0,41.0,3.0,0.0,0.0,0.0,0.0
