date,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,gov_response,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2021-02-21,0.1227053876997406,0.14617334250319963,0.1148105625717566,87324.0,332.0,1562.0,5.0,0.1213342644410976,0.0,0.0,0.0,0.0
2021-02-22,0.1227053876997406,0.14617334250319963,0.1148105625717566,87681.0,357.0,1573.0,11.0,0.1213342644410976,0.0,0.0,0.0,0.0
2021-02-23,0.1227053876997406,0.14617334250319963,0.1148105625717566,88120.0,439.0,1576.0,3.0,0.1213342644410976,0.0,0.0,0.0,0.0
2021-02-24,0.1227053876997406,0.14617334250319963,0.1148105625717566,88516.0,396.0,1581.0,5.0,0.1213342644410976,0.0,0.0,0.0,0.0
2021-02-25,0.1227053876997406,0.14617334250319963,0.1148105625717566,88922.0,406.0,1585.0,4.0,0.1213342644410976,0.0,0.0,0.0,0.0
2021-02-26,0.12804610784244463,0.14617334250319963,0.1148105625717566,89321.0,399.0,1595.0,10.0,0.12610819678454652,49806.0,38793.0,11057.0,1.0
2021-02-27,0.12804610784244463,0.14617334250319963,0.1148105625717566,89676.0,355.0,1603.0,8.0,0.12610819678454652,51763.0,40539.0,11270.0,1.0
2021-02-28,0.12804610784244463,0.14617334250319963,0.1148105625717566,90031.0,355.0,1605.0,2.0,0.12610819678454652,52896.0,41570.0,11372.0,1.0
2021-03-01,0.12135615313737325,0.13345266971688266,0.1148105625717566,90372.0,341.0,1606.0,1.0,0.12015032921992227,55086.0,43506.0,11631.0,1.0
2021-03-02,0.12135615313737325,0.13345266971688266,0.1148105625717566,90816.0,444.0,1612.0,6.0,0.12015032921992227,121605.0,109736.0,11922.0,2.0
2021-03-03,0.12135615313737325,0.13345266971688266,0.1148105625717566,91240.0,424.0,1619.0,7.0,0.12015032921992227,191295.0,179126.0,12226.0,2.0
2021-03-04,0.12135615313737325,0.13345266971688266,0.1148105625717566,91638.0,398.0,1627.0,8.0,0.12015032921992227,262506.0,249840.0,12733.0,2.0
2021-03-05,0.12135615313737325,0.13345266971688266,0.1148105625717566,92055.0,417.0,1632.0,5.0,0.12015032921992227,334073.0,321006.0,13146.0,2.0
2021-03-06,0.12135615313737325,0.13345266971688266,0.1148105625717566,92471.0,416.0,1634.0,2.0,0.12015032921992227,352679.0,339479.0,13304.0,2.0
2021-03-07,0.12135615313737325,0.13345266971688266,0.1148105625717566,92817.0,346.0,1642.0,8.0,0.12015032921992227,355186.0,341911.0,13402.0,2.0
2021-03-08,0.12135615313737325,0.13345266971688266,0.1148105625717566,93263.0,446.0,1645.0,3.0,0.12015032921992227,423523.0,410020.0,13662.0,2.0
2021-03-09,0.12135615313737325,0.13345266971688266,0.1148105625717566,93733.0,470.0,1648.0,3.0,0.12015032921992227,488241.0,474296.0,14128.0,2.0
2021-03-10,0.12135615313737325,0.13345266971688266,0.1148105625717566,94198.0,465.0,1652.0,4.0,0.12015032921992227,543564.0,529321.0,14697.0,2.0
2021-03-11,0.12135615313737325,0.13345266971688266,0.1148105625717566,94686.0,488.0,1662.0,10.0,0.12015032921992227,589428.0,574761.0,15356.0,2.0
2021-03-12,0.12135615313737325,0.13345266971688266,0.1148105625717566,95176.0,490.0,1667.0,5.0,0.12015032921992227,628959.0,613960.0,15942.0,2.0
2021-03-13,0.12135615313737325,0.13345266971688266,0.1148105625717566,95635.0,459.0,1669.0,2.0,0.12015032921992227,633592.0,618450.0,16149.0,2.0
2021-03-14,0.12135615313737325,0.13345266971688266,0.1148105625717566,96017.0,382.0,1675.0,6.0,0.12015032921992227,635476.0,620256.0,16284.0,2.0
2021-03-15,0.12135615313737325,0.13345266971688266,0.1148105625717566,96380.0,363.0,1678.0,3.0,0.12015032921992227,649933.0,634440.0,17460.0,2.0
2021-03-16,0.12135615313737325,0.13345266971688266,0.1148105625717566,96849.0,469.0,1686.0,8.0,0.12015032921992227,670794.0,654953.0,18499.0,2.0
2021-03-17,0.12135615313737325,0.13345266971688266,0.1148105625717566,97294.0,445.0,1688.0,2.0,0.12015032921992227,692511.0,676366.0,19414.0,2.0
2021-03-18,0.12135615313737325,0.13345266971688266,0.1148105625717566,97757.0,463.0,1690.0,2.0,0.12015032921992227,713786.0,697132.0,20305.0,2.0
2021-03-19,0.12135615313737325,0.13345266971688266,0.1148105625717566,98209.0,452.0,1693.0,3.0,0.12015032921992227,732760.0,715694.0,21309.0,2.0
2021-03-20,0.12135615313737325,0.13345266971688266,0.1148105625717566,98665.0,456.0,1696.0,3.0,0.12015032921992227,735255.0,717678.0,21847.0,2.0
2021-03-21,0.12135615313737325,0.13345266971688266,0.1148105625717566,99075.0,410.0,1697.0,1.0,0.12015032921992227,736503.0,718499.0,22293.0,2.0
2021-03-22,0.12135615313737325,0.13345266971688266,0.1148105625717566,99421.0,346.0,1704.0,7.0,0.12015032921992227,742003.0,723397.0,23055.0,2.0
2021-03-23,0.12403588289318615,0.13345266971688266,0.1148105625717566,99846.0,425.0,1707.0,3.0,0.12253729539164675,764701.0,745005.0,24359.0,2.0
2021-03-24,0.12403588289318615,0.13345266971688266,0.1148105625717566,100276.0,430.0,1709.0,2.0,0.12253729539164675,795725.0,774430.0,25985.0,2.0
2021-03-25,0.12403588289318615,0.13345266971688266,0.1148105625717566,100770.0,494.0,1716.0,7.0,0.12253729539164675,831263.0,808294.0,27948.0,2.0
2021-03-26,0.12403588289318615,0.13345266971688266,0.1148105625717566,101275.0,505.0,1721.0,5.0,0.12253729539164675,858941.0,834110.0,30062.0,2.0
2021-03-27,0.12403588289318615,0.13345266971688266,0.1148105625717566,101757.0,482.0,1722.0,1.0,0.12253729539164675,861800.0,836604.0,30455.0,2.0
2021-03-28,0.12403588289318615,0.13345266971688266,0.1148105625717566,102141.0,384.0,1726.0,4.0,0.12253729539164675,862921.0,837477.0,30712.0,2.0
2021-03-29,0.12403588289318615,0.13345266971688266,0.1148105625717566,102582.0,441.0,1729.0,3.0,0.12253729539164675,891142.0,864271.0,32164.0,2.0
2021-03-30,0.12403588289318615,0.13345266971688266,0.1148105625717566,103088.0,506.0,1731.0,2.0,0.12253729539164675,922683.0,893090.0,34931.0,2.0
2021-03-31,0.12403588289318615,0.13345266971688266,0.1148105625717566,103639.0,551.0,1735.0,4.0,0.12253729539164675,952038.0,917064.0,40364.0,2.0
2021-04-01,0.12403588289318615,0.13345266971688266,0.1148105625717566,104194.0,555.0,1737.0,2.0,0.12253729539164675,998086.0,955199.0,48401.0,2.0
2021-04-02,0.12403588289318615,0.13345266971688266,0.1148105625717566,104736.0,542.0,1740.0,3.0,0.12253729539164675,1045992.0,995967.0,56109.0,2.0
2021-04-03,0.12403588289318615,0.13345266971688266,0.1148105625717566,105279.0,543.0,1744.0,4.0,0.12253729539164675,1056533.0,1005617.0,57092.0,2.0
